ubigeo,dominio,trabaja,p506,tamanoemp,horas,ingreso,sexo,edad,edociv,educ,informal,anio,id,anoseduc,exp,exp2,sector
150118,8,1,8021,5,35,2030,0,32,6,10,0,2023,23375,17,15,225,1
150118,8,1,9500,1,50,2500,0,49,1,10,0,2023,23380,17,32,1024,8
150118,8,1,9249,4,48,1035,1,45,1,5,0,2023,23382,9,36,1296,3
150118,8,1,5143,1,47,300,1,54,6,5,1,2023,23386,9,45,2025,3
150118,8,1,6519,2,45,1025,1,26,1,10,0,2023,23388,17,9,81,3
150118,8,1,8511,5,36,2450,0,44,2,11,0,2023,23391,19,25,625,3
150118,8,1,7511,5,43,1800,0,25,1,10,1,2023,23396,17,8,64,3
150118,8,1,1320,4,45,4372,1,45,2,11,0,2023,23400,19,26,676,3
150118,8,1,5020,1,56,40,1,61,1,6,1,2023,23403,11,50,2500,1
150118,8,1,5260,2,32,1600,1,25,1,7,1,2023,23410,13,12,144,3
150118,8,1,1543,4,29,1500,1,38,1,8,0,2023,23414,15,23,529,3
150118,8,1,7492,1,60,1470,1,28,1,6,0,2023,23416,11,17,289,13
150118,8,1,2421,3,45,1190,1,22,1,6,0,2023,23417,11,11,121,3
150118,8,1,5121,4,67,3175,1,34,1,6,0,2023,23418,11,23,529,3
150103,8,1,7511,5,40,3160,1,35,2,10,0,2023,23427,17,18,324,3
150103,8,1,4520,1,42,575,1,58,5,5,1,2023,23429,9,49,2401,3
150103,8,1,7493,3,48,350,0,36,5,5,1,2023,23433,9,27,729,13
150103,8,1,9500,1,48,300,0,37,1,10,1,2023,23436,17,20,400,8
150103,8,1,5520,1,60,450,1,30,2,8,1,2023,23438,15,15,225,3
150103,8,1,6420,5,48,892,1,49,1,6,0,2023,23443,11,38,1444,3
150103,8,1,9500,1,68,1500,0,42,1,6,0,2023,23445,11,31,961,8
150103,8,1,5520,1,30,1100,0,42,5,6,1,2023,23447,11,31,961,3
150103,8,1,4520,1,48,930,1,65,3,6,0,2023,23455,11,54,2916,3
150103,8,1,6023,1,54,1810,1,38,6,6,0,2023,23457,11,27,729,1
150103,8,1,1810,1,36,200,0,25,6,6,1,2023,23459,11,14,196,3
150103,8,1,1320,5,84,3500,1,58,2,6,0,2023,23461,11,47,2209,3
150103,8,1,1810,1,40,600,1,42,6,6,1,2023,23466,11,31,961,3
150101,8,1,9302,1,48,950,0,54,6,6,1,2023,23471,11,43,1849,1
150101,8,1,9500,1,48,550,0,53,5,8,1,2023,23475,15,38,1444,8
150101,8,1,1520,4,48,1515,1,27,1,9,0,2023,23476,16,11,121,3
150101,8,1,7511,5,40,3160,1,53,5,10,0,2023,23482,17,36,1296,3
150101,8,1,5260,1,47,1300,1,61,2,6,1,2023,23483,11,50,2500,3
150101,8,1,9500,1,20,700,0,58,2,7,1,2023,23484,13,45,2025,8
150101,8,1,5260,1,45,1050,1,25,1,9,1,2023,23485,16,9,81,3
150101,8,1,7499,5,48,1018,0,37,5,9,0,2023,23488,16,21,441,13
150101,8,1,8531,5,40,1850,1,67,2,10,0,2023,23492,17,50,2500,3
150101,8,1,8010,3,40,930,0,42,1,10,0,2023,23494,17,25,625,14
150101,8,1,5139,2,40,1555,0,30,2,9,0,2023,23496,16,14,196,3
150101,8,1,5020,1,48,2000,1,50,6,6,1,2023,23499,11,39,1521,1
150101,8,1,7513,5,50,4002,1,62,2,10,0,2023,23502,17,45,2025,3
150101,8,1,8511,5,44,3045,0,60,2,10,0,2023,23503,17,43,1849,3
150101,8,1,8512,1,48,2523,1,32,1,10,0,2023,23504,17,15,225,3
150101,8,1,5122,3,60,1550,0,40,1,9,0,2023,23505,16,24,576,3
150101,8,1,5520,1,48,1000,1,21,1,5,1,2023,23506,9,12,144,3
150101,8,1,5139,2,48,1225,1,34,6,6,0,2023,23508,11,23,529,3
150101,8,1,5520,1,48,1200,0,20,1,5,1,2023,23509,9,11,121,3
150101,8,1,7512,5,35,2700,1,65,2,8,0,2023,23510,15,50,2500,3
150101,8,1,5239,1,60,1025,1,59,1,10,1,2023,23514,17,42,1764,3
150101,8,1,5260,1,24,80,1,58,1,6,1,2023,23515,11,47,2209,3
150101,8,1,5252,1,50,240,0,44,5,6,1,2023,23517,11,33,1089,3
150101,8,1,5231,2,48,995,0,34,2,8,1,2023,23518,15,19,361,3
